DAM_ID,DAM_NAME,STATE,AGENCY_CODE,LONG,LAT,TIME_SERIES_START,TIME_SERIES_END,INCONSISTENCIES_NOTED
353,Willow Creek Reservoir,Oregon,ACE_POR,-119.54375,45.344451,1980-01-01,2020-12-31,NA
355,Yellowtail,Montana,BOR,-107.957143,45.305859,1965-10-01,2020-05-05,NA
361,Thief Valley,Oregon,BOR_PN,-117.78289,45.013574,1965-01-01,2020-12-31,NA
362,Clark Canyon,Montana,BOR,-112.860426,44.997869,1963-10-01,2020-05-05,NA
364,Hebgen Dam,Montana,BOR,-111.334057,44.863227,1986-10-29,2018-12-18,NA
367,Mason,Oregon,BOR_PN,-117.999626,44.671057,1965-01-01,2020-12-31,NA
368,Lima,Montana,BOR ,-112.363205,44.654902,1988-10-01,2017-12-19,NA
370,Cascade,Idaho,BOR_PN,-116.053057,44.523064,1965-01-01,2020-12-31,NA
372,Unity,Oregon,BOR_PN,-118.18281,44.504773,1965-01-01,2020-12-31,NA
373,Buffalo Bill,Wyoming,BOR,-109.186819,44.500233,1951-10-01,2020-05-05,NA
374,Island Park,Idaho,BOR,-111.394991,44.420051,1965-01-01,2020-12-31,NA
375,Mann Creek,Idaho,BOR_PN,-116.89813,44.39375,1965-01-01,2020-12-31,NA
377,Deadwood,Idaho,BOR_PN,-115.645624,44.295039,1965-01-01,2020-12-31,NA
378,Grassy Lake,Wyoming,BOR_PN,-110.817278,44.129764,1965-01-01,2020-12-31,NA
382,Bully Creek,Oregon,BOR_PN,-117.398688,44.01512,1965-01-01,2020-12-31,NA
383,Agency Valley,Oregon,BOR_PN,-118.155208,43.912118,1965-01-01,2020-12-31,NA
384,Jackson Lake,Wyoming,BOR_PN,-110.591126,43.857485,1965-01-01,2020-12-31,NA
385,Anchor,Wyoming,BOR,-108.827888,43.663883,1961-11-01,2018-12-18,NA
386,Owyhee,Oregon,BOR_PN,-117.238522,43.639982,1965-01-01,2020-12-31,NA
387,Arrowrock,Idaho,BOR_PN,-115.921576,43.593558,1965-01-01,2020-12-31,NA
388,Warm Springs,Oregon,BOR_PN,-118.2091,43.58693,1965-01-01,2020-12-31,NA
389,Deer Flat Upper,Idaho,BOR_PN,-116.73125,43.584629,1965-01-01,2020-12-31,NA
390,Ririe,Idaho,BOR_PN,-111.740813,43.580736,1965-01-01,2020-12-31,NA
391,Lucky Peak,Idaho,BOR_PN,-116.052083,43.526359,1965-01-01,2020-12-31,NA
392,Little Wood River,Idaho,BOR_PN,-114.028321,43.426524,1965-01-01,2020-12-31,NA
393,Boysen,Wyoming,BOR,-108.177221,43.414157,2011-10-01,2020-05-05,NA
394,Anderson Ranch,Idaho,BOR_PN,-115.447429,43.36022,1965-01-01,2020-12-31,NA
396,Palisades,Idaho,BOR_PN,-111.202028,43.330514,1965-01-01,2020-12-31,NA
398,Bull Lake,Wyoming,BOR,-109.044413,43.209951,1968-10-01,2020-05-05,NA
399,Pilot Butte,Wyoming,BOR,-108.760417,43.195527,1949-10-31,2020-05-05,NA
405,C.J. Strike,Idaho,USGS,-115.972917,42.947917,1980-01-01,2020-12-31,NA
411,American Falls,Idaho,BOR,-112.873708,42.779062,1965-01-01,2020-12-31,NA
413,Minidoka,Idaho,BOR,-113.484084,42.667609,1965-01-01,2020-12-31,NA
415,Alcova,Wyoming,BOR,-106.727083,42.543117,1945-10-01,2018-12-18,NA
416,Pathfinder Dike,Wyoming,BOR,-106.853706,42.46391,1945-10-01,2018-12-18,NA
419,Big Sandy Dike,Wyoming,BOR,-109.432426,42.252083,1970-05-12,2021-01-25,NA
420,Eden Dike 1,Wyoming,BOR,-109.372287,42.238935,1960-07-29,2021-01-27,NA
